author,verified,activity,defaultprofile,userurl,hashtag,tweeturl,mentions,media,retweets
8091533,0,0,1,0,1,0,1,0,0
283096,0,0,0,1,1,0,1,0,2
1087609,0,0,1,0,1,1,0,0,0
8400570,0,0,0,1,1,1,1,0,6
252015,0,1,0,1,0,0,0,0,21
7679863,0,0,1,0,1,0,1,0,0
1559022,0,0,0,0,1,1,1,0,13
7848752,0,0,1,0,1,0,0,0,1
5208349,0,0,0,0,0,0,1,1,0
3013640,0,0,0,0,1,0,0,0,4
8437691,1,1,0,1,1,0,1,1,5
3881752,0,1,0,1,0,1,1,1,3
4525795,0,0,0,1,1,0,1,1,0
3148687,0,0,0,1,1,1,0,0,0
8556006,0,0,0,0,1,0,0,1,0
4767265,0,0,1,0,1,1,1,0,3
2982723,0,0,0,0,1,0,0,0,0
2301492,0,1,1,0,0,0,0,0,3
9001278,0,0,1,1,0,0,1,0,2
2780400,0,0,1,0,1,0,1,1,0
4552557,0,1,1,0,1,1,0,0,0
8214457,0,0,1,0,0,1,1,0,1
5675468,0,0,1,1,0,0,0,0,0
2836132,0,0,1,0,0,0,0,0,0
4386803,0,1,1,1,1,0,1,0,0
4518777,0,0,0,0,1,0,1,0,0
7028851,0,0,0,0,0,1,0,0,0
4515113,0,0,0,1,1,0,0,1,5
1702998,0,0,1,0,1,0,1,0,17
6142400,0,0,1,0,0,0,1,0,1
692575,0,1,1,0,1,0,0,0,1
4119066,0,0,0,0,1,0,1,0,0
345299,0,0,0,1,0,0,1,1,2
7462620,0,0,1,0,0,0,1,0,0
2904005,0,0,0,0,0,0,1,0,0
8052865,0,1,0,0,0,1,0,0,0
7298765,0,0,1,0,1,0,1,0,0
8437691,1,1,0,1,0,1,1,1,4
1731553,0,1,1,0,1,0,1,0,0
1731553,0,1,1,0,1,0,1,0,0
8437691,1,1,0,1,1,0,1,0,0
1249383,0,0,1,0,0,0,0,0,0
2338988,0,0,1,0,1,0,0,0,0
5758228,0,0,0,1,1,1,0,0,0
2347632,0,0,0,1,1,0,1,0,0
1427380,0,0,1,1,1,0,1,0,1
894087,0,0,0,1,0,1,1,0,2
8004605,0,0,0,1,0,1,1,1,20
1719930,0,1,1,1,0,0,1,0,0
5417644,0,0,1,0,0,0,1,0,0
2739203,0,1,1,0,0,0,0,0,0
2334931,0,0,0,1,0,0,0,0,1
8713408,0,0,0,0,1,0,1,0,0
5295730,0,1,0,1,0,1,0,0,1
4449242,0,0,0,1,0,1,0,0,0
7283197,0,1,1,0,1,0,1,0,0
7283197,0,1,1,0,1,0,1,0,0
8028668,0,0,0,0,1,1,1,0,1
2242650,0,0,0,0,1,0,0,0,0
972465,0,1,0,0,0,0,0,0,1
4863711,0,1,0,0,1,0,1,0,0
2006133,0,0,0,0,1,0,0,0,0
127636,0,0,1,0,0,0,1,0,0
1184297,0,0,0,0,0,1,1,0,8
1678447,0,0,1,1,1,0,1,0,5
7532197,0,0,1,0,1,0,1,1,0
1731553,0,1,1,0,1,0,1,0,1
6382150,0,0,1,0,1,0,1,0,0
3010129,1,0,0,0,0,0,1,0,0
8534933,0,0,1,0,0,0,0,0,0
6220362,0,0,1,1,0,0,1,0,0
5355469,0,0,0,0,0,0,1,0,0
487733,0,0,0,1,0,1,0,0,18
7560277,0,0,0,1,1,1,1,0,0
8437691,1,1,0,1,1,0,1,0,2
1359623,0,0,1,0,0,0,1,0,4
6829884,0,0,0,1,1,0,1,0,0
4086497,0,0,1,0,1,0,1,0,10
4386803,0,1,1,1,1,0,1,0,0
8437691,1,1,0,1,1,0,1,0,4
4896259,0,0,0,0,1,0,0,0,0
5650509,0,0,1,0,1,0,1,0,0
4386803,0,1,1,1,1,0,1,0,1
8222663,0,0,0,0,1,0,1,0,0
4600752,0,0,1,0,1,0,1,0,2
8437691,1,1,0,1,1,0,0,1,6
8437691,1,1,0,1,1,0,1,0,4
4503464,0,0,1,0,1,0,1,0,0
8660612,0,0,0,0,1,0,1,0,0
5259241,0,0,1,0,1,0,0,0,0
873942,0,1,1,1,0,1,0,1,0
2762543,0,0,0,1,1,0,1,1,0
8381578,0,0,1,1,1,0,1,0,0
3348312,0,1,0,0,1,0,0,0,0
4864807,0,0,1,0,0,0,0,0,0
7632982,0,0,1,0,1,0,1,0,0
7283197,0,1,1,0,1,0,0,0,0
4140149,0,0,1,1,0,1,0,0,1
6599453,0,0,1,0,0,0,1,0,0
2638356,0,0,0,1,0,0,0,0,10
4445869,0,0,1,0,0,0,1,0,0
9123192,0,0,0,0,0,0,1,0,0
9042606,0,0,1,0,1,0,0,1,10
6208090,0,0,0,0,0,0,1,0,0
5982464,0,0,1,0,1,0,1,0,3
8428869,0,0,0,1,0,0,1,0,10
8660612,0,0,0,0,1,0,1,0,0
8437691,1,1,0,1,1,0,1,0,11
6835291,0,0,1,0,0,0,0,0,0
8437691,1,1,0,1,1,0,1,0,2
4494035,0,0,0,1,1,1,0,0,1
4140149,0,0,1,1,0,1,0,0,0
7142408,0,0,0,0,0,0,1,0,0
9042606,0,0,1,0,1,0,1,0,0
8028668,0,0,0,0,1,0,1,0,1
6043404,0,1,1,0,1,0,0,0,0
5819240,0,0,0,0,1,0,1,0,3
8437691,1,1,0,1,1,0,1,0,3
2442059,0,0,1,0,0,0,0,0,0
442249,0,0,1,0,1,0,1,0,0
8404848,0,0,0,0,1,0,1,0,0
9141997,1,0,0,1,0,0,1,0,0
730245,1,0,1,1,0,0,0,0,1
6891254,0,0,1,0,0,0,0,0,0
1165136,0,0,0,0,0,0,1,0,1
1087609,0,0,1,0,1,0,0,1,0
9059703,0,0,0,1,1,0,1,0,6
345299,0,0,0,1,1,0,1,0,10
957894,0,0,0,1,1,0,1,0,10
2739203,0,1,1,0,0,0,0,0,3
3013640,0,0,0,0,1,1,0,0,3
8556006,0,0,0,0,1,0,1,1,1
2546386,0,0,0,1,1,0,1,1,4
4148075,0,0,1,0,1,0,1,0,0
5078912,0,0,0,0,0,0,0,0,0
8556006,0,0,0,0,1,0,0,1,1
2001334,0,0,0,1,0,0,1,0,0
9199286,0,0,0,1,0,1,0,1,9
8437691,1,1,0,1,0,1,1,0,21
9199286,0,0,0,1,1,0,0,1,9
1281791,0,0,1,0,0,0,0,0,0
3140828,0,0,0,0,1,0,0,0,0
2762543,0,0,0,1,1,0,1,0,0
3712915,0,0,0,0,0,0,1,0,15
5720152,0,0,0,0,1,0,1,0,0
2554358,0,0,1,0,0,0,0,0,0
9239412,0,1,0,1,1,0,0,0,0
9039504,0,0,0,1,1,1,1,1,0
2632768,0,0,0,0,0,0,0,0,0
735919,0,0,0,1,1,0,1,0,0
8898507,0,0,0,0,1,0,1,0,1
8437691,1,1,0,1,0,0,1,0,3
2826962,0,0,1,0,0,0,0,1,0
1948933,0,0,1,0,1,1,1,0,4
95435,0,1,0,0,1,0,1,0,0
4896259,0,0,0,0,1,0,1,0,0
8404848,0,0,0,0,1,0,1,1,0
2718953,0,0,0,1,1,0,1,0,0
4515113,0,0,0,1,1,0,0,1,7
6244880,0,0,0,0,1,0,0,1,4
1805444,0,0,1,0,1,0,0,0,0
3037056,0,0,0,0,1,0,1,0,3
1427380,0,0,1,1,1,0,1,0,3
861144,0,0,0,0,0,1,1,0,0
8437691,1,1,0,1,1,0,1,0,1
4148075,0,0,1,0,1,0,1,0,0
3764615,0,0,1,0,1,0,1,0,1
3030359,0,0,0,0,1,0,1,0,0
8437691,1,1,0,1,0,0,0,1,5
1093902,0,1,1,0,0,0,0,0,0
4494035,0,0,0,1,1,0,0,0,1
2894227,1,1,0,1,1,1,0,0,0
2346371,0,1,0,1,0,1,0,0,3
2293671,0,0,1,1,0,0,0,0,0
6962909,0,0,0,0,0,0,0,0,1
7235223,0,0,0,0,1,0,1,0,2
4284773,0,0,0,1,1,0,1,0,0
5853908,0,0,0,0,0,0,0,0,0
6208090,0,0,0,0,0,0,1,0,0
8713408,0,0,0,0,1,0,0,0,0
6148367,0,0,1,0,1,1,0,1,0
2096635,1,0,0,1,0,1,1,0,0
7028851,0,0,0,0,0,0,0,0,0
6208090,0,0,0,0,1,0,1,0,0
4209020,0,0,0,1,0,0,1,0,0
2135780,0,1,1,0,1,0,1,0,0
2570418,0,0,0,1,1,0,1,0,1
4943704,0,0,0,0,0,0,0,1,0
345299,0,0,0,1,0,0,1,0,30
873942,0,1,1,1,0,1,0,0,0
77021,0,0,1,0,0,0,0,0,0
3525248,0,0,1,0,0,0,1,1,2
6244880,0,0,0,0,1,0,0,0,0
2242650,0,0,0,0,1,0,1,0,0
852877,0,0,0,0,0,0,0,0,0
6808008,0,0,1,1,1,0,0,0,0
7183992,0,0,0,1,0,0,1,1,0
6148367,0,0,1,0,1,0,0,0,0
4802817,0,0,0,1,0,0,0,0,0
4386803,0,1,1,1,1,0,1,0,0
4608687,0,0,0,0,0,0,0,0,0
7283197,0,1,1,0,1,0,0,0,0
3693450,0,1,0,1,1,0,0,0,5
1418510,0,1,0,1,0,0,0,0,0
7312343,0,1,0,1,0,0,1,0,91
6168454,0,1,0,1,0,1,0,0,0
957894,0,0,0,1,1,0,0,0,1
4711111,0,0,1,0,1,0,1,0,0
5627081,0,0,0,1,0,0,1,0,0
6271319,0,0,0,1,0,1,1,1,4
8348893,0,0,0,0,1,1,1,0,0
6229774,0,0,0,0,1,0,0,0,0
7254569,0,1,1,0,0,1,0,0,0
7402639,0,0,1,0,1,0,1,0,0
7402639,0,0,1,0,1,0,1,0,0
9039504,0,0,0,1,1,1,1,1,0
1629981,0,0,0,1,0,0,0,0,16
4778209,0,0,0,0,1,0,0,0,1
7601811,0,0,0,0,0,0,1,0,0
1087609,0,0,1,0,1,1,1,0,0
7208168,0,0,1,0,1,0,0,0,0
7518653,0,0,1,0,1,0,1,0,0
245364,0,0,0,1,1,0,1,0,0
8713408,0,0,0,0,0,0,1,0,0
9015151,0,0,1,0,1,0,0,0,10
5149513,0,0,0,1,0,0,1,0,0
6050639,0,0,1,0,0,1,0,0,0
8689073,0,0,0,1,1,1,0,1,0
8689073,0,0,0,1,1,1,0,1,0
8689073,0,0,0,1,1,1,0,1,1
1857001,0,0,0,0,1,0,1,0,11
8689073,0,0,0,1,1,1,0,1,1
1559022,0,0,0,0,0,0,1,0,13
4226516,0,0,1,1,0,0,0,0,0
5952376,0,0,0,0,0,0,0,0,0
4804342,0,0,0,0,1,1,0,0,0
-1,0,0,1,0,0,0,1,1,0
5582363,1,0,0,1,1,1,1,0,1
1448310,0,1,0,1,1,1,0,0,0
8277930,0,0,1,1,0,1,1,0,0
1027949,0,0,0,0,0,0,0,0,0
9090865,0,1,1,0,1,0,1,1,4
820600,0,0,1,0,0,0,1,0,1
5952376,0,0,0,0,0,0,1,0,1
559244,0,0,0,0,1,0,0,0,0
6645489,0,0,0,1,1,0,0,0,17
6796415,0,0,0,1,1,1,1,0,7
1559022,0,0,0,0,0,0,0,0,0
5750637,0,1,0,0,1,0,1,0,0
3254294,0,0,1,1,1,0,1,0,1
8437691,1,1,0,1,1,0,1,0,2
8437691,1,1,0,1,0,0,1,1,1
2352582,0,1,0,0,1,0,1,0,0
1948933,0,0,1,0,1,1,1,0,2
