author_adjlist,author_metis,verified,activity,defaultprofile,userurl,hashtag,tweeturl,mentions,media,retweets
6092792       ,6359        ,0       ,0       ,0             ,0      ,0      ,1       ,0       ,0    ,0
3179296       ,1363        ,0       ,0       ,1             ,1      ,0      ,0       ,1       ,1    ,0
8525989       ,4007        ,0       ,0       ,0             ,1      ,1      ,1       ,1       ,0    ,0
5650493       ,7040        ,0       ,0       ,1             ,0      ,0      ,1       ,0       ,0    ,1
7327896       ,5547        ,0       ,0       ,0             ,1      ,0      ,0       ,0       ,0    ,2
873942        ,8195        ,0       ,1       ,1             ,1      ,0      ,1       ,0       ,1    ,0
5295730       ,5583        ,0       ,1       ,0             ,1      ,0      ,1       ,1       ,1    ,0
6829884       ,1598        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,1    ,1
1025308       ,1672        ,0       ,0       ,0             ,0      ,1      ,1       ,0       ,0    ,0
2570783       ,6761        ,0       ,0       ,0             ,1      ,0      ,0       ,1       ,0    ,0
6829884       ,1598        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,1    ,1
6829884       ,1598        ,0       ,0       ,0             ,1      ,1      ,1       ,1       ,1    ,1
6829884       ,1598        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,1    ,0
6829884       ,1598        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,1    ,1
6829884       ,1598        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,1    ,0
6829884       ,1598        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,1    ,0
6829884       ,1598        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,1    ,0
1448310       ,689         ,0       ,1       ,0             ,1      ,1      ,1       ,0       ,0    ,0
6829884       ,1598        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,1    ,0
2554358       ,3998        ,0       ,0       ,1             ,0      ,1      ,1       ,1       ,0    ,2
4482230       ,6932        ,0       ,0       ,0             ,0      ,1      ,0       ,1       ,1    ,2
7254569       ,7061        ,0       ,1       ,1             ,0      ,0      ,1       ,0       ,0    ,0
3013640       ,6231        ,0       ,1       ,0             ,0      ,1      ,0       ,0       ,0    ,7
8556006       ,4781        ,0       ,0       ,0             ,0      ,1      ,0       ,1       ,0    ,0
